Sigla;CO_IES;Facebook;Youtube;Twitter;Linkedin;Flickr;Instagram
UFRJ;586;https://www.facebook.com/PortalUFRJ;https://www.youtube.com/webtvufrj;https://twitter.com/ufrj;null;null;https://www.instagram.com/ufrj.oficial/
UFRN;570;https://facebook.com/ufrnoficial;https://youtube.com/user/tvagecom;https://twitter.com/ufrnbr;null;null;https://instagram.com/ufrn.br/
UFRPE;587;https://www.facebook.com/UFRPEoficial/;https://www.youtube.com/user/jornalismoufrpe;https://twitter.com/ufrpeonline;null;https://www.flickr.com/photos/ufrpe;https://www.instagram.com/ufrpe/
UFRR;789;https://www.facebook.com/ufrroficial?_rdr;https://www.youtube.com/user/UFRRoficial;https://twitter.com/ufrroficial;null;https://www.flickr.com/photos/ufrroficial;https://instagram.com/ufrroficial/
UFRRJ;574;https://www.facebook.com/universidadefederalrural;https://www.youtube.com/universidaderural;https://twitter.com/ufrrjbr;null;null;https://www.instagram.com/universidadefederalrural
UFS;3;http://www.facebook.com/ufsoficial;http://www.youtube.com/user/ufsoficial;https://twitter.com/ufsoficial;null;http://www.flickr.com/photos/ascomufs;https://www.instagram.com/ufsoficial
UFSB;18812;https://pt-br.facebook.com/faceufsb/;https://www.youtube.com/channel/UCHYnaQiA4hAhzfmIrE0d_3Q;https://twitter.com/ufsb_oficial;null;null;https://www.instagram.com/ufsb_oficial/
UFSC;585;https://pt-br.facebook.com/universidadeufsc;https://www.youtube.com/c/ufscoficial;https://twitter.com/ufsc;null;null;https://www.instagram.com/universidadeufsc
UFSCar;7;https://www.facebook.com/ufscaroficial;null;https://twitter.com/ufscaroficial;null;null;https://www.instagram.com/ufscaroficial/?hl=pt
UFSJ;107;https://www.facebook.com/ufsjbr/;http://www.youtube.com/tvufsj;http://twitter.com/ufsjbr;null;null;https://www.instagram.com/ufsjbr/
UFSM;582;https://pt-br.facebook.com/ufsm.br/;https://www.youtube.com/channel/UCHfMH8IWHaxcFEB9Ls5MbUA;https://twitter.com/ufsm_oficial;https://www.linkedin.com/school/ufsm/;null;https://www.instagram.com/ufsm.br/
UFT;3849;https://www.facebook.com/uftoficial;https://www.youtube.com/user/uftoficial;https://twitter.com/uftoficial;null;null;https://www.instagram.com/uftoficial
UFTM;597;http://www.facebook.com/uftmsocial;http://youtube.com/uftmsocial;https://twitter.com/uftmsocial;https://www.linkedin.com/school/uftm;http://flickr.com/uftmsocial;http://instagram.com/uftmsocial
UFU;17;https://www.facebook.com/comunicacaoufu;https://www.youtube.com/user/rtuniversitaria;http://www.twitter.com/ufu_oficial;null;null;https://www.instagram.com/ufu_oficial/
UFV;8;https://www.facebook.com/ufvbr;https://www.youtube.com/channel/UCbT5RHZncV04-qp1jtm6Nsw;https://www.twitter.com/ufvbr;null;null;https://www.instagram.com/ufvbroficial/
UFVJM;596;https://www.facebook.com/ufvjmoficial;https://www.youtube.com/ufvjmoficial;https://twitter.com/ufvjm;https://www.linkedin.com/company/ufvjm---universidade-federal-dos-vales-do-jequitinhonha-e-mucuri/?originalSubdomain=br;null;https://www.instagram.com/ufvjmoficial/?hl=pt-br
UnB;2;https://www.facebook.com/oficialunb/;https://www.youtube.com/user/unbtv;https://twitter.com/unb_oficial;null;http://www.flickr.com/photos/unb_agencia;https://www.instagram.com/unb_oficial/
UNIFAL;595;https://www.facebook.com/unifalmgoficial;https://www.youtube.com/user/comunicacaounifal;https://twitter.com/unifalmgoficial;null;null;https://www.instagram.com/unifalmg/
UNIFAP;830;https://www.facebook.com/unifapoficial/;http://www.youtube.com/unifapoficial;https://twitter.com/unifapoficial;null;https://www.flickr.com/photos/unifap-oficial/;https://www.instagram.com/unifapoficial/
UNIFEI;598;https://www.facebook.com/universidadefederaldeitajuba/;null;https://twitter.com/unifei_oficial;https://www.linkedin.com/school/66121/;null;https://www.instagram.com/unifei_oficial/
UNIFESP;591;https://www.facebook.com/unifesp-universidade-federal-de-s%c3%a3o-paulo-1455967948047951/;https://youtube.com/canalunifesp;https://twitter.com/unifesp;https://pt.linkedin.com/school/unifesp/;https://www.flickr.com/photos/unifesp/albums;https://www.instagram.com/unifespoficial/
UNIFESSPA;18440;http://facebook.com/unifesspaoficial;https://www.youtube.com/channel/UC6sIZjlyYCiE2Ks2j_fQggA;https://twitter.com/unifesspa;null;null;http://instagram.com/unifesspa/
UNILA;15001;http://facebook.com/unila.oficial;http://youtube.com/unila;https://twitter.com/unila;null;http://flickr.com/unila;http://instagram.com/instaunila
UNILAB;15497;https://www.facebook.com/unilaboficial;https://www.youtube.com/channel/UC1cwypwNcrAqOuZeNEgqr_Q;https://twitter.com/unilabbrasil;null;null;https://www.instagram.com/unilab.oficial
UNIPAMPA;5322;https://www.facebook.com/unipampaoficial/;https://www.youtube.com/user/acsunipampa/;https://www.twitter.com/unipampaoficial/;null;null;https://www.instagram.com/teliganaunipampa/
UNIR;699;https://pt-br.facebook.com/unir.ro/;https://www.youtube.com/channel/UCAHopwb3eg9b4T7LRZxeQ5g;null;null;null;http://www.instagram.com/unir.rondonia
UNIRIO;693;null;http://www.youtube.com/nisunirio;https://twitter.com/unirio_oficial;null;null;https://www.instagram.com/unirio_oficial/
UNIVASF;3984;http://facebook.com/univasf;https://www.youtube.com/channel/UCCNEfhme3KlBhqB7LFPd7vg;null;null;null;http://instagram.com/univasf
UTFPR;588;http://facebook.com/utfpr;http://youtube.com/canaldautfpr;https://twitter.com/utfpr_;https://www.linkedin.com/school/utfpr-oficial;http://flickr.com/photos/utfpr;http://instagram.com/utfpr_
